"","week","count","GIDSTCO","Tot_Population_ACS_14_18","pct_URBANIZED_AREA_POP_CEN_2010","pct_Prs_Blw_Pov_Lev_ACS_14_18","pct_No_Health_Ins_ACS_14_18"
"3947",2,57,19059,17056,-0.555872501853231,-1.17752591551829,-1.1440890733324
"7079",3,94,19059,17056,-0.555872501853231,-1.17752591551829,-1.1440890733324
"816",1,242,19061,96802,1.52079074861437,-0.604748131556118,-1.22267947349875
"3948",2,228,19061,96802,1.52079074861437,-0.604748131556118,-1.22267947349875
"7080",3,238,19061,96802,1.52079074861437,-0.604748131556118,-1.22267947349875
"817",1,46,19063,9551,-0.555872501853231,-0.54144923898887,-0.58388057983891
"3949",2,37,19063,9551,-0.555872501853231,-0.54144923898887,-0.58388057983891
"7081",3,35,19063,9551,-0.555872501853231,-0.54144923898887,-0.58388057983891
"818",1,78,19065,19929,-0.555872501853231,-0.502852353277133,-0.892196765106909
"3950",2,76,19065,19929,-0.555872501853231,-0.502852353277133,-0.892196765106909
"7082",3,86,19065,19929,-0.555872501853231,-0.502852353277133,-0.892196765106909
"819",1,65,19067,15858,-0.555872501853231,0.0158897906886059,-0.207049686733577
"3951",2,80,19067,15858,-0.555872501853231,0.0158897906886059,-0.207049686733577
"7083",3,84,19067,15858,-0.555872501853231,0.0158897906886059,-0.207049686733577
"820",1,43,19069,10245,-0.555872501853231,-0.436465709852947,-1.13804365793499
"3952",2,37,19069,10245,-0.555872501853231,-0.436465709852947,-1.13804365793499
"7084",3,36,19069,10245,-0.555872501853231,-0.436465709852947,-1.13804365793499
"821",1,23,19071,6968,-0.555872501853231,-0.945944601247869,-0.982877996068085
"3953",2,24,19071,6968,-0.555872501853231,-0.945944601247869,-0.982877996068085
"7085",3,20,19071,6968,-0.555872501853231,-0.945944601247869,-0.982877996068085
"822",1,60,19073,9003,-0.555872501853231,-1.03857712695604,-1.26701251974644
"3954",2,50,19073,9003,-0.555872501853231,-1.03857712695604,-1.26701251974644
"7086",3,38,19073,9003,-0.555872501853231,-1.03857712695604,-1.26701251974644
"823",1,45,19075,12341,-0.555872501853231,-1.46623062064208,-1.5068139971771
"3955",2,25,19075,12341,-0.555872501853231,-1.46623062064208,-1.5068139971771
"7087",3,26,19075,12341,-0.555872501853231,-1.46623062064208,-1.5068139971771
